"T1";"T2";"T3";"T4";"T5";"T6";"T7";"T8";"T9";"T10";"T11";"T12";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"DD1";"DD2";"DD3";"DD4";"DD5";"DD6";"DD7";"DD8";"DD9";"DD10";"DD11";"DD12";"DC1";"DC2";"DC3";"DC4";"DC5";"DC6";"DC7";"DC8";"DC9";"DC10";"DC11";"DC12";"GSL1";"GSL2";"GSL3";"GSL4";"GSL5";"GSL6";"GSL7";"GSL8";"GSL9";"GSL10";"GSL11";"GSL12";"P-6";"P-7";"P-8";"P-9";"P-10";"P-11";"P-12";"T-6";"T-7";"T-8";"T-9";"T-10";"T-11";"T-12";"S-6";"S-7";"S-8";"S-9";"S-10";"S-11";"S-12";"DD-6";"DD-7";"DD-8";"DD-9";"DD-10";"DD-11";"DD-12";"DC-6";"DC-7";"DC-8";"DC-9";"DC-10";"DC-11";"DC-12";"GSL-6";"GSL-7";"GSL-8";"GSL-9";"GSL-10";"GSL-11";"GSL-12"
"1954";-16.2782;-7.9112;-6.3936;0.2116;8.0811;14.1995;15.4887;14.9521;10.6143;5.5086;-0.9252;-8.0589;52.8136;69.489;68.5927;95.8354;98.6359;66.7797;191.0326;114.6355;165.2622;65.0846;83.714;163.3492;48.1206;49.071;53.2341;41.0241;8.1155;0;0;0;0.884;12.145;25.4366;145.2149;0;6.405898;14.761926;83.194138;333.708038;759.692505;1239.841309;1703.356934;2021.785034;2198.209961;2228.489746;2228.489746;NA;NA;NA;22.83824;42.53074;72.19475;62.11932;41.42006;49.23346;11.72217;NA;NA;NA;NA;NA;NA;NA;144;NA;NA;NA;NA;NA;NA;14.6792;17.0994;15.4832;11.5906;5.6028;1.4891;-6.8452;79.1444;95.7054;38.5215;75.4056;43.4039;41.6538;73.7875;0.8359;0.2659;0;0;9.7601;18.2948;48.0335;827.328308;1357.408447;1837.388184;2185.105469;2359.025635;2434.169189;2444.503662;95.00793;139.45937;293.44516;299.98218;299.45929;NA;NA;159;NA;NA;NA;NA;NA;NA
"1955";-12.9547;-11.8729;-8.4587;1.6784;8.2618;15.4874;17.6884;16.5929;10.4217;5.3686;-1.595;-12.2798;100.6991;75.2043;89.7807;35.5301;78.0045;65.8708;72.0421;75.192;145.8595;20.674;63.8415;42.801;99.1183;67.1831;74.7233;11.4051;6.1288;0;0;0;2.3294;5.2538;37.4757;42.044;0;3.128431;4.078303;74.333656;330.448853;795.071106;1343.410156;1857.789551;2170.440918;2340.416016;2382.50708;2382.50708;NA;NA;NA;NA;49.01534;86.20863;223.49313;278.72305;209.34102;128.99345;NA;NA;NA;NA;NA;NA;NA;163;NA;NA;NA;NA;NA;NA;14.1995;15.4887;14.9521;10.6143;5.5086;-0.9252;-8.0589;66.7797;191.0326;114.6355;165.2622;65.0846;83.714;163.3492;0;0;0;0.884;12.145;25.4366;145.2149;759.692505;1239.841309;1703.356934;2021.785034;2198.209961;2228.489746;2228.489746;72.19475;62.11932;41.42006;49.23346;11.72217;NA;NA;144;NA;NA;NA;NA;NA;NA
"1956";-7.1638;-12.2367;-9.5426;1.1518;5.1169;13.7435;15.0713;14.4304;9.5067;6.112;-2.4186;-11.7098;68.7699;38.3388;52.6015;32.5816;76.0478;41.8652;117.4949;57.3956;61.4896;40.2096;45.2774;85.0068;58.0813;35.8627;47.7775;11.5319;12.7802;0;0;0;1.6938;1.827;33.8838;78.5304;2.215032;2.215032;2.215032;53.607124;215.301239;627.605713;1094.81604;1542.15918;1827.359009;2019.274414;2060.80835;2060.80835;NA;NA;NA;20.07332;30.97793;131.90208;204.97646;238.06235;255.20306;237.20018;258.93329;NA;NA;NA;NA;NA;NA;120;NA;NA;NA;NA;NA;NA;15.4874;17.6884;16.5929;10.4217;5.3686;-1.595;-12.2798;65.8708;72.0421;75.192;145.8595;20.674;63.8415;42.801;0;0;0;2.3294;5.2538;37.4757;42.044;795.071106;1343.410156;1857.789551;2170.440918;2340.416016;2382.50708;2382.50708;86.20863;223.49313;278.72305;209.34102;128.99345;NA;NA;163;NA;NA;NA;NA;NA;NA
"1957";-18.7019;-10.7962;-4.9005;-0.0339;7.4759;13.8785;15.9907;13.6937;11.0625;6.135;-0.2197;-6.9074;33.5821;79.7284;40.9112;77.358;25.3591;124.2155;82.2524;38.182;109.4443;76.0937;88.5432;110.8286;25.9787;76.1699;27.067;47.2997;2.6367;1.5399;0;0;2.7394;9.7347;32.266;77.2993;2.517666;2.517666;7.193926;67.598068;299.94812;716.301636;1212.012939;1636.517212;1968.3927;2167.349121;2220.943115;2234.161133;NA;NA;NA;20.18142;81.25756;150.58565;150.75604;270.73859;256.78207;173.65498;NA;NA;NA;NA;NA;NA;NA;155;NA;NA;NA;NA;NA;NA;13.7435;15.0713;14.4304;9.5067;6.112;-2.4186;-11.7098;41.8652;117.4949;57.3956;61.4896;40.2096;45.2774;85.0068;0;0;0;1.6938;1.827;33.8838;78.5304;627.605713;1094.81604;1542.15918;1827.359009;2019.274414;2060.80835;2060.80835;131.90208;204.97646;238.06235;255.20306;237.20018;258.93329;NA;120;NA;NA;NA;NA;NA;NA
"1958";-9.0903;-11.227;-1.5567;3.3515;7.7339;11.019;16.3926;15.1191;10.4825;4.1179;-2.4607;-16.0067;86.4022;87.5214;31.0312;69.0436;47.7742;148.8302;119.8513;157.4676;54.1224;59.9849;78.3266;53.4936;76.9431;78.9887;19.5374;14.0894;3.6526;2.8597;0;0;0.4414;8.1835;62.3593;51.1957;0;0;8.606812;117.340828;357.67804;688.247742;1196.419678;1665.110352;1979.584106;2109.141113;2133.883057;2133.883057;NA;NA;NA;12.59114;47.72342;52.38026;52.59657;70.69054;49.40852;90.66194;NA;NA;NA;NA;NA;NA;NA;158;NA;NA;NA;NA;NA;NA;13.8785;15.9907;13.6937;11.0625;6.135;-0.2197;-6.9074;124.2155;82.2524;38.182;109.4443;76.0937;88.5432;110.8286;1.5399;0;0;2.7394;9.7347;32.266;77.2993;716.301636;1212.012939;1636.517212;1968.3927;2167.349121;2220.943115;2234.161133;150.58565;150.75604;270.73859;256.78207;173.65498;NA;NA;155;NA;NA;NA;NA;NA;NA
"1959";-13.036;-16.5629;-9.5603;1.4317;9.6067;13.089;19.5156;15.6572;12.7807;4.291;-3.3996;-9.3731;114.2464;60.8581;95.5139;51.4615;24.5425;96.7404;83.8825;69.9076;70.2839;86.6186;126.8419;39.8373;105.9527;60.3404;92.1277;20.4209;1.1306;1;0.5802;0;0;13.9767;68.1127;31.8096;0;0;0;61.498848;359.306488;751.976135;1356.959351;1842.333984;2225.75415;2371.248535;2402.540039;2408.227539;NA;NA;NA;NA;75.73116;128.35591;219.04974;240.57469;229.87;233.23244;NA;NA;NA;NA;NA;NA;NA;147;NA;NA;NA;NA;NA;NA;11.019;16.3926;15.1191;10.4825;4.1179;-2.4607;-16.0067;148.8302;119.8513;157.4676;54.1224;59.9849;78.3266;53.4936;2.8597;0;0;0.4414;8.1835;62.3593;51.1957;688.247742;1196.419678;1665.110352;1979.584106;2109.141113;2133.883057;2133.883057;52.38026;52.59657;70.69054;49.40852;90.66194;NA;NA;158;NA;NA;NA;NA;NA;NA
"1960";-13.5702;-7.7746;-7.8581;-0.1789;11.9109;15.3398;16.0847;16.4518;11.3345;4.6186;-0.8544;-10.009;77.4333;113.4531;96.3497;54.4504;52.7854;74.0302;42.6083;51.3305;92.6335;43.161;111.01;107.407;72.677;93.0151;89.7947;18.6461;2.5625;0;0;0;0.6979;7.3927;47.4044;91.7927;0;0;0;41.251968;410.490601;870.683105;1369.308716;1879.315552;2219.350098;2365.831055;2401.560303;2405.589355;NA;NA;NA;NA;50.81803;143.26691;236.33554;342.32544;289.41174;236.51689;NA;NA;NA;NA;NA;NA;NA;172;NA;NA;NA;NA;NA;NA;13.089;19.5156;15.6572;12.7807;4.291;-3.3996;-9.3731;96.7404;83.8825;69.9076;70.2839;86.6186;126.8419;39.8373;1;0.5802;0;0;13.9767;68.1127;31.8096;751.976135;1356.959351;1842.333984;2225.75415;2371.248535;2402.540039;2408.227539;128.35591;219.04974;240.57469;229.87;233.23244;NA;NA;147;NA;NA;NA;NA;NA;NA
"1961";-17.4339;-13.5349;-7.9322;1.596;7.4445;13.8684;16.8168;15.9986;13.9413;6.4347;0.4248;-7.1475;68.6258;65.8034;109.5529;59.5172;90.3279;87.4197;62.9403;100.1732;137.7926;50.3315;45.0444;62.0516;68.39;63.7874;102.9667;29.2251;14.9416;0.3255;0;0.4056;0;5.6738;19.9574;41.4645;0;0;0.739756;56.010368;286.790466;702.841003;1224.160278;1720.116821;2138.35498;2337.97583;2389.145996;2389.574463;NA;NA;NA;NA;49.39806;67.49371;145.95525;216.42438;115.9836;44.44193;NA;NA;NA;NA;NA;NA;NA;137;NA;NA;NA;NA;NA;NA;15.3398;16.0847;16.4518;11.3345;4.6186;-0.8544;-10.009;74.0302;42.6083;51.3305;92.6335;43.161;111.01;107.407;0;0;0;0.6979;7.3927;47.4044;91.7927;870.683105;1369.308716;1879.315552;2219.350098;2365.831055;2401.560303;2405.589355;143.26691;236.33554;342.32544;289.41174;236.51689;NA;NA;172;NA;NA;NA;NA;NA;NA
"1962";-15.2585;-16.7139;-3.6614;1.1574;8.0331;14.3474;14.6444;16.1532;9.8767;4.2928;-2.9869;-8.982;49.8256;50.457;26.9177;99.4576;134.8153;91.8082;86.2502;81.2284;92.0462;103.8485;81.9304;108.4182;44.7993;48.6853;21.534;33.3597;21.1109;0.4295;0;0;3.5297;56.3647;44.5075;98.9517;0;0;24.884287;81.720879;331.265778;761.686401;1215.661987;1716.412231;2012.713623;2166.213135;2171.829834;2179.943604;NA;NA;NA;5.61936;20.90814;46.17524;122.84318;141.64565;176.67616;170.54276;NA;NA;NA;NA;NA;NA;NA;167;NA;NA;NA;NA;NA;NA;13.8684;16.8168;15.9986;13.9413;6.4347;0.4248;-7.1475;87.4197;62.9403;100.1732;137.7926;50.3315;45.0444;62.0516;0.3255;0;0.4056;0;5.6738;19.9574;41.4645;702.841003;1224.160278;1720.116821;2138.35498;2337.97583;2389.145996;2389.574463;67.49371;145.95525;216.42438;115.9836;44.44193;NA;NA;137;NA;NA;NA;NA;NA;NA
"1963";-12.2903;-15.1726;-8.0233;1.1446;8.1226;15.2793;18.0767;13.7486;9.1905;7.0874;0.9191;-13.5927;75.6725;74.0963;52.8397;62.888;67.8945;70.9336;129.3138;140.5835;109.4224;135.4154;103.6599;23.5188;72.3359;73.5496;47.3617;25.3795;5.5987;0;0;0.4276;12.0438;31.7978;37.2381;21.5982;0;0;7.44779;69.115318;320.916016;779.294861;1339.671753;1765.877319;2041.591309;2262.762695;2319.01001;2319.01001;NA;NA;NA;2.43075;35.21075;97.62268;108.72411;96.64887;50.84251;17.84821;NA;NA;NA;NA;NA;NA;NA;131;NA;NA;NA;NA;NA;NA;14.3474;14.6444;16.1532;9.8767;4.2928;-2.9869;-8.982;91.8082;86.2502;81.2284;92.0462;103.8485;81.9304;108.4182;0.4295;0;0;3.5297;56.3647;44.5075;98.9517;761.686401;1215.661987;1716.412231;2012.713623;2166.213135;2171.829834;2179.943604;46.17524;122.84318;141.64565;176.67616;170.54276;NA;NA;167;NA;NA;NA;NA;NA;NA
"1964";-11.5606;-10.1969;-6.9323;1.3569;8.8447;13.1423;16.5901;13.9275;10.181;3.5118;-2.8851;-9.8808;70.3409;46.8221;103.9459;27.6872;83.1881;139.0127;113.1947;95.1447;39.544;85.6997;47.7411;83.663;64.3584;43.6547;90.6611;10.6563;7.9233;3.2612;0;0;1.3881;21.7931;33.2055;74.5992;0;0;8.653898;103.215004;377.4021;771.670044;1285.962158;1717.713989;2023.144043;2138.922363;2156.989502;2176.859375;NA;NA;NA;25.95976;53.15776;38.49067;86.33148;97.07347;146.60809;183.37466;NA;NA;NA;NA;NA;NA;NA;155;NA;NA;NA;NA;NA;NA;15.2793;18.0767;13.7486;9.1905;7.0874;0.9191;-13.5927;70.9336;129.3138;140.5835;109.4224;135.4154;103.6599;23.5188;0;0;0.4276;12.0438;31.7978;37.2381;21.5982;779.294861;1339.671753;1765.877319;2041.591309;2262.762695;2319.01001;2319.01001;97.62268;108.72411;96.64887;50.84251;17.84821;NA;NA;131;NA;NA;NA;NA;NA;NA
"1965";-14.8923;-12.5107;-5.3808;1.3856;7.8948;14.4477;14.254;14.6288;10.4717;3.5735;-4.9215;-9.6584;59.9282;62.2817;27.4789;16.7517;98.6412;39.2188;103.6779;100.2383;109.47;130.0312;69.5232;86.1112;58.7061;54.1321;20.6592;5.1186;5.7681;0;1.4679;2.9711;2.6794;33.6172;50.1386;81.5778;0;0;16.049803;78.771919;323.511261;756.94281;1198.816772;1652.310425;1966.461426;2085.444824;2088.436523;2088.436523;NA;NA;NA;22.00057;30.61705;101.86574;182.21887;212.53752;147.93477;77.94739;NA;NA;NA;NA;NA;NA;NA;150;NA;NA;NA;NA;NA;NA;13.1423;16.5901;13.9275;10.181;3.5118;-2.8851;-9.8808;139.0127;113.1947;95.1447;39.544;85.6997;47.7411;83.663;3.2612;0;0;1.3881;21.7931;33.2055;74.5992;771.670044;1285.962158;1717.713989;2023.144043;2138.922363;2156.989502;2176.859375;38.49067;86.33148;97.07347;146.60809;183.37466;NA;NA;155;NA;NA;NA;NA;NA;NA
"1966";-9.7578;-9.1334;-3.3274;1.801;7.4956;14.4524;16.5644;15.2857;9.5558;5.2753;1.0747;-7.2692;130.8401;31.6448;109.6313;22.0083;39.1473;49.1202;90.9923;99.0547;102.942;111.4797;114.0795;115.2173;117.0374;26.6676;56.8503;4.8028;5.8074;0.5231;0;0;3.0054;22.5199;35.8399;96.5393;0;4.463911;27.481722;94.468277;331.420135;764.991394;1278.488525;1752.344604;2039.018311;2206.408447;2298.459717;2311.919434;NA;NA;NA;23.44767;70.63732;163.86928;250.60005;204.43416;201.15433;82.25808;18.62686;NA;NA;NA;NA;NA;NA;129;NA;NA;NA;NA;NA;NA;14.4477;14.254;14.6288;10.4717;3.5735;-4.9215;-9.6584;39.2188;103.6779;100.2383;109.47;130.0312;69.5232;86.1112;0;1.4679;2.9711;2.6794;33.6172;50.1386;81.5778;756.94281;1198.816772;1652.310425;1966.461426;2085.444824;2088.436523;2088.436523;101.86574;182.21887;212.53752;147.93477;77.94739;NA;NA;150;NA;NA;NA;NA;NA;NA
"1967";-11.3615;-15.5705;-9.8197;-0.8153;5.1338;15.5375;18.7937;16.6683;11.8203;5.6816;-1.8287;-8.7629;76.8502;68.9607;17.7437;33.1172;103.4118;72.4238;104.6056;133.9247;120.2609;107.1487;74.3248;90.3906;74.4485;66.5696;14.8747;17.2266;24.9422;0;0;0;0.3772;9.9061;37.1245;82.7337;0;0;7.405699;36.737267;195.88649;662.010986;1244.616089;1761.333008;2115.943115;2292.073975;2337.635986;2338.807861;NA;NA;NA;NA;14.54186;94.76034;144.80867;118.54572;88.28462;10.69659;14.49947;NA;NA;NA;NA;NA;NA;148;NA;NA;NA;NA;NA;NA;14.4524;16.5644;15.2857;9.5558;5.2753;1.0747;-7.2692;49.1202;90.9923;99.0547;102.942;111.4797;114.0795;115.2173;0.5231;0;0;3.0054;22.5199;35.8399;96.5393;764.991394;1278.488525;1752.344604;2039.018311;2206.408447;2298.459717;2311.919434;163.86928;250.60005;204.43416;201.15433;82.25808;18.62686;NA;129;NA;NA;NA;NA;NA;NA
"1968";-16.7467;-14.2505;-5.3353;3.382;7.6946;13.403;16.666;12.9075;13.2501;7.2153;-2.9967;-8.2339;83.7908;56.2238;148.5787;44.082;20.2223;102.507;83.7598;57.2725;34.1502;84.8871;77.3326;145.1535;82.1474;40.9489;99.5211;10.6289;0.535;0;0;0.3071;0;9.2431;55.0871;126.4214;0;2.886224;33.990677;150.502731;389.036316;791.125244;1307.770142;1707.901245;2105.404785;2329.079834;2335.93457;2338.26416;NA;NA;NA;12.18209;73.95652;156.36514;160.51094;235.56235;293.74362;308.96317;NA;NA;NA;NA;NA;NA;NA;174;NA;NA;NA;NA;NA;NA;15.5375;18.7937;16.6683;11.8203;5.6816;-1.8287;-8.7629;72.4238;104.6056;133.9247;120.2609;107.1487;74.3248;90.3906;0;0;0;0.3772;9.9061;37.1245;82.7337;662.010986;1244.616089;1761.333008;2115.943115;2292.073975;2337.635986;2338.807861;94.76034;144.80867;118.54572;88.28462;10.69659;14.49947;NA;148;NA;NA;NA;NA;NA;NA
"1969";-8.858;-8.9971;-5.6079;-0.4708;6.6234;14.551;15.7732;16.2927;9.5418;3.8812;0.7883;-7.8738;132.7621;75.2405;46.1037;40.2252;87.2721;49.5629;91.8839;87.7791;119.7951;67.2816;130.818;112.5817;121.9901;73.9754;34.2712;16.1052;5.0534;0.2181;0;0;1.4849;29.8762;32.3432;95.2277;3.572535;5.655055;12.178064;60.058697;265.581085;702.111267;1191.081909;1696.155396;1982.410645;2130.865967;2216.929443;2223.791016;NA;NA;NA;NA;19.59896;106.37337;216.9565;188.48323;119.29431;116.60329;NA;NA;NA;NA;NA;NA;NA;138;NA;NA;NA;NA;NA;NA;13.403;16.666;12.9075;13.2501;7.2153;-2.9967;-8.2339;102.507;83.7598;57.2725;34.1502;84.8871;77.3326;145.1535;0;0;0.3071;0;9.2431;55.0871;126.4214;791.125244;1307.770142;1707.901245;2105.404785;2329.079834;2335.93457;2338.26416;156.36514;160.51094;235.56235;293.74362;308.96317;NA;NA;174;NA;NA;NA;NA;NA;NA
"1970";-16.731;-12.7938;-5.653;1.1016;8.1202;14.3296;18.9138;16.8472;9.5179;6.5615;-0.2731;-13.1811;36.9039;111.8772;44.051;66.4858;98.5353;85.7734;48.1828;77.4704;127.1841;96.2489;39.2348;60.2079;34.7122;95.8504;36.4489;27.7368;17.9208;0;0;0;3.8981;10.9966;19.7276;58.6289;0;0.437333;3.184224;73.330032;325.057648;754.944336;1341.272461;1863.534424;2149.072021;2354.83374;2399.23584;2399.23584;NA;NA;NA;18.89007;22.33472;68.73394;209.01891;318.52448;141.85205;91.33117;33.93229;NA;NA;NA;NA;NA;NA;154;NA;NA;NA;NA;NA;NA;14.551;15.7732;16.2927;9.5418;3.8812;0.7883;-7.8738;49.5629;91.8839;87.7791;119.7951;67.2816;130.818;112.5817;0.2181;0;0;1.4849;29.8762;32.3432;95.2277;702.111267;1191.081909;1696.155396;1982.410645;2130.865967;2216.929443;2223.791016;106.37337;216.9565;188.48323;119.29431;116.60329;NA;NA;138;NA;NA;NA;NA;NA;NA
"1971";-15.7092;-11.883;-5.7514;1.1345;9.3964;13.2906;16.5129;14.8076;11.9671;6.4988;-2.9402;-12.396;55.9828;72.4728;119.5112;61.4985;65.3191;43.0119;68.316;217.0178;74.573;92.0502;104.4107;114.3127;54.019;66.2113;106.3771;30.1867;6.8843;0.2913;0;0.9298;3.5097;5.7935;71.8829;108.2347;0;0.778489;5.843904;64.431145;355.71991;754.439087;1266.337524;1725.372681;2084.385254;2285.847412;2313.753906;2313.753906;NA;NA;NA;NA;45.02283;120.25399;226.63071;209.48889;36.90854;22.72451;15.93915;NA;NA;NA;NA;NA;NA;145;NA;NA;NA;NA;NA;NA;14.3296;18.9138;16.8472;9.5179;6.5615;-0.2731;-13.1811;85.7734;48.1828;77.4704;127.1841;96.2489;39.2348;60.2079;0;0;0;3.8981;10.9966;19.7276;58.6289;754.944336;1341.272461;1863.534424;2149.072021;2354.83374;2399.23584;2399.23584;68.73394;209.01891;318.52448;141.85205;91.33117;33.93229;NA;154;NA;NA;NA;NA;NA;NA
"1972";-14.1945;-14.6917;-9.2389;-0.9342;8.0568;14.1679;16.4194;14.0764;11.1477;3.0017;-3.8934;-14.2257;56.7933;87.4301;156.7697;22.8361;63.4625;65.9894;81.5605;55.6092;160.5056;116.0695;81.1794;128.7807;52.7192;81.5114;116.5709;12.0595;9.5495;0.618;0;0;2.2266;23.2705;66.8781;123.0744;0.525768;1.553386;4.67668;34.633331;285.483856;710.520569;1219.52063;1655.88855;1990.320435;2108.70459;2115.999756;2115.999756;NA;NA;NA;NA;60.01356;108.92869;174.14481;254.36816;155.79715;53.61253;NA;NA;NA;NA;NA;NA;NA;139;NA;NA;NA;NA;NA;NA;13.2906;16.5129;14.8076;11.9671;6.4988;-2.9402;-12.396;43.0119;68.316;217.0178;74.573;92.0502;104.4107;114.3127;0.2913;0;0.9298;3.5097;5.7935;71.8829;108.2347;754.439087;1266.337524;1725.372681;2084.385254;2285.847412;2313.753906;2313.753906;120.25399;226.63071;209.48889;36.90854;22.72451;15.93915;NA;145;NA;NA;NA;NA;NA;NA
