plot_id,year,census_no,date
S1760,2001,2,2001-07-02
S1760,2001,3,2001-07-30
S1760,2001,4,NA
S1760,2002,2,2002-07-02
S1760,2002,3,2002-07-24
S1760,2002,4,2002-08-26
S1760,2003,2,2003-07-07
S1760,2003,3,2003-08-08
S1760,2003,4,2003-09-05
S1760,2004,2,2004-07-08
S1760,2004,3,2004-08-04
S1760,2004,4,2004-09-07
S1760,2005,2,2005-07-04
S1760,2005,3,2005-08-02
S1760,2005,4,2005-09-06
S1760,2006,2,2006-06-29
S1760,2006,3,2006-08-02
S1760,2006,4,2006-09-06
S1760,2007,1,2007-05-30
S1760,2007,2,2007-07-02
S1760,2007,3,2007-07-30
S1760,2007,4,2007-09-08
S1760,2008,1,2008-06-03
S1760,2008,2,2008-07-03
S1760,2008,3,2008-08-05
S1760,2008,4,2008-09-10
S1760,2009,1,2009-06-02
S1760,2009,2,2009-07-03
S1760,2009,3,2009-08-03
S1760,2009,4,2009-09-08
S1760,2010,1,2010-06-01
S1760,2010,2,2010-07-01
S1760,2010,3,2010-08-02
S1760,2010,4,2010-09-11
S1760,2011,1,2011-06-02
S1760,2011,2,2011-07-05
S1760,2011,3,2011-08-04
S1760,2011,4,2011-09-09
S1760,2012,1,2012-06-07
S1760,2012,2,2012-07-05
S1760,2012,3,2012-08-01
S1760,2012,4,2012-09-10
S1760,2013,1,2013-06-06
S1760,2013,2,2013-07-02
S1760,2013,3,2013-08-05
S1760,2013,4,2013-09-08
S1760,2014,1,2014-06-04
S1760,2014,2,2014-07-04
S1760,2014,3,2014-08-04
S1760,2014,4,2014-09-09
S1760,2015,1,2015-06-03
S1760,2015,2,2015-07-02
S1760,2015,3,2015-08-06
S1760,2015,4,2015-09-09
S1760,2016,1,2016-06-03
S1760,2016,2,2016-07-04
S1760,2016,3,2016-08-02
S1760,2016,4,2016-08-29
S1760,2017,1,2017-06-08
S1760,2017,2,2017-07-05
S1760,2017,3,2017-08-03
S1760,2017,4,2017-09-09
S1760,2018,1,2018-06-08
S1760,2018,2,2018-07-03
S1760,2018,3,2018-08-06
S1760,2018,4,2018-09-13
S1797,2001,2,NA
S1797,2001,3,NA
S1797,2001,4,NA
S1797,2002,2,NA
S1797,2002,3,2002-07-24
S1797,2002,4,2002-08-26
S1797,2003,2,2003-07-07
S1797,2003,3,2003-08-07
S1797,2003,4,2003-09-05
S1797,2004,2,NA
S1797,2004,3,NA
S1797,2004,4,NA
S1797,2005,2,2005-07-07
S1797,2005,3,2005-08-08
S1797,2005,4,2005-09-07
S1797,2006,2,2006-06-29
S1797,2006,3,2006-08-02
S1797,2006,4,2006-09-06
S1797,2007,1,2007-05-31
S1797,2007,2,2007-07-03
S1797,2007,3,2007-07-30
S1797,2007,4,2007-09-06
S1797,2008,1,NA
S1797,2008,2,NA
S1797,2008,3,NA
S1797,2008,4,NA
S1797,2009,1,2009-06-03
S1797,2009,2,2009-07-03
S1797,2009,3,2009-08-03
S1797,2009,4,2009-09-08
S1797,2010,1,2010-06-01
S1797,2010,2,2010-07-01
S1797,2010,3,2010-08-03
S1797,2010,4,2010-09-10
S1797,2011,1,NA
S1797,2011,2,2011-07-05
S1797,2011,3,2011-08-02
S1797,2011,4,2011-09-09
S1797,2012,1,2012-06-07
S1797,2012,2,2012-07-05
S1797,2012,3,2012-08-01
S1797,2012,4,2012-09-10
S1797,2013,1,2013-06-05
S1797,2013,2,2013-07-02
S1797,2013,3,2013-08-05
S1797,2013,4,2013-09-08
S1797,2014,1,2014-06-04
S1797,2014,2,2014-07-04
S1797,2014,3,2014-08-04
S1797,2014,4,2014-09-12
S1797,2015,1,2015-06-01
S1797,2015,2,2015-07-02
S1797,2015,3,2015-08-08
S1797,2015,4,2015-09-09
S1797,2016,1,2016-06-03
S1797,2016,2,2016-07-04
S1797,2016,3,2016-08-02
S1797,2016,4,2016-08-29
S1797,2017,1,2017-06-07
S1797,2017,2,2017-07-04
S1797,2017,3,2017-08-03
S1797,2017,4,2017-09-09
S1797,2018,1,2018-06-08
S1797,2018,2,2018-07-03
S1797,2018,3,2018-08-03
S1797,2018,4,2018-09-08
S1823,2001,2,NA
S1823,2001,3,NA
S1823,2001,4,NA
S1823,2002,2,2002-07-03
S1823,2002,3,2002-07-23
S1823,2002,4,2002-08-23
S1823,2003,2,2003-07-07
S1823,2003,3,2003-08-07
S1823,2003,4,2003-09-05
S1823,2004,2,2004-07-08
S1823,2004,3,2004-08-03
S1823,2004,4,2004-09-07
S1823,2005,2,2005-07-05
S1823,2005,3,2005-08-02
S1823,2005,4,2005-09-07
S1823,2006,2,2006-06-29
S1823,2006,3,2006-07-31
S1823,2006,4,2006-09-06
S1823,2007,1,2007-05-31
S1823,2007,2,2007-07-04
S1823,2007,3,2007-07-31
S1823,2007,4,2007-09-08
S1823,2008,1,2008-06-03
S1823,2008,2,2008-07-01
S1823,2008,3,2008-08-05
S1823,2008,4,2008-09-10
S1823,2009,1,2009-06-05
S1823,2009,2,2009-07-08
S1823,2009,3,2009-08-07
S1823,2009,4,2009-09-09
S1823,2010,1,2010-06-01
S1823,2010,2,2010-07-01
S1823,2010,3,2010-08-03
S1823,2010,4,2010-09-10
S1823,2011,1,2011-06-02
S1823,2011,2,2011-07-05
S1823,2011,3,2011-08-02
S1823,2011,4,2011-09-09
S1823,2012,1,2012-06-13
S1823,2012,2,2012-07-06
S1823,2012,3,2012-08-01
S1823,2012,4,2012-09-10
S1823,2013,1,2013-06-04
S1823,2013,2,2013-07-03
S1823,2013,3,2013-08-08
S1823,2013,4,2013-09-08
S1823,2014,1,2014-06-04
S1823,2014,2,2014-07-03
S1823,2014,3,2014-08-06
S1823,2014,4,2014-09-04
S1823,2015,1,2015-06-03
S1823,2015,2,2015-07-02
S1823,2015,3,2015-08-06
S1823,2015,4,2015-09-09
S1823,2016,1,2016-06-01
S1823,2016,2,2016-07-05
S1823,2016,3,2016-08-02
S1823,2016,4,2016-08-29
S1823,2017,1,2017-06-08
S1823,2017,2,2017-07-04
S1823,2017,3,2017-08-03
S1823,2017,4,2017-09-10
S1823,2018,1,2018-06-08
S1823,2018,2,2018-07-03
S1823,2018,3,2018-08-06
S1823,2018,4,2018-09-13
S1847,2001,2,NA
S1847,2001,3,NA
S1847,2001,4,NA
S1847,2002,2,NA
S1847,2002,3,2002-07-23
S1847,2002,4,2002-08-23
S1847,2003,2,2003-07-04
S1847,2003,3,2003-08-07
S1847,2003,4,2003-09-06
S1847,2004,2,NA
S1847,2004,3,NA
S1847,2004,4,NA
S1847,2005,2,NA
S1847,2005,3,2005-08-03
S1847,2005,4,2005-09-06
S1847,2006,2,2006-06-30
S1847,2006,3,2006-08-02
S1847,2006,4,2006-09-06
S1847,2007,1,2007-05-30
S1847,2007,2,2007-07-04
S1847,2007,3,2007-07-31
S1847,2007,4,2007-09-06
S1847,2008,1,2008-06-04
S1847,2008,2,2008-07-01
S1847,2008,3,2008-08-04
S1847,2008,4,2008-09-07
S1847,2009,1,2009-06-04
S1847,2009,2,2009-07-01
S1847,2009,3,2009-08-06
S1847,2009,4,2009-09-09
S1847,2010,1,2010-06-01
S1847,2010,2,2010-07-01
S1847,2010,3,2010-08-02
S1847,2010,4,2010-09-10
S1847,2011,1,2011-06-03
S1847,2011,2,2011-07-05
S1847,2011,3,2011-08-02
S1847,2011,4,2011-09-09
S1847,2012,1,2012-06-07
S1847,2012,2,2012-07-05
S1847,2012,3,2012-08-01
S1847,2012,4,2012-09-10
S1847,2013,1,2013-06-04
S1847,2013,2,2013-07-03
S1847,2013,3,2013-08-05
S1847,2013,4,2013-09-05
S1847,2014,1,2014-06-04
S1847,2014,2,2014-07-03
S1847,2014,3,2014-08-05
S1847,2014,4,2014-09-09
S1847,2015,1,2015-06-02
S1847,2015,2,2015-06-30
S1847,2015,3,2015-08-06
S1847,2015,4,2015-09-09
S1847,2016,1,2016-06-01
S1847,2016,2,2016-07-04
S1847,2016,3,2016-08-03
S1847,2016,4,2016-08-29
S1847,2017,1,2017-06-07
S1847,2017,2,2017-07-05
S1847,2017,3,2017-08-06
S1847,2017,4,2017-09-09
S1847,2018,1,2018-06-05
S1847,2018,2,2018-07-01
S1847,2018,3,2018-08-03
S1847,2018,4,2018-09-08
S1870,2001,2,NA
S1870,2001,3,NA
S1870,2001,4,NA
S1870,2002,2,2002-07-03
S1870,2002,3,2002-07-23
S1870,2002,4,2002-08-23
S1870,2003,2,2003-07-03
S1870,2003,3,2003-08-07
S1870,2003,4,2003-09-05
S1870,2004,2,2004-07-06
S1870,2004,3,NA
S1870,2004,4,2004-09-07
S1870,2005,2,NA
S1870,2005,3,2005-08-02
S1870,2005,4,2005-09-07
S1870,2006,2,2006-06-29
S1870,2006,3,2006-07-31
S1870,2006,4,2006-09-06
S1870,2007,1,2007-05-31
S1870,2007,2,2007-07-02
S1870,2007,3,2007-07-30
S1870,2007,4,2007-09-06
S1870,2008,1,2008-06-03
S1870,2008,2,2008-07-03
S1870,2008,3,2008-08-04
S1870,2008,4,2008-09-07
S1870,2009,1,2009-06-03
S1870,2009,2,2009-07-03
S1870,2009,3,2009-08-04
S1870,2009,4,2009-09-08
S1870,2010,1,2010-06-01
S1870,2010,2,2010-07-01
S1870,2010,3,2010-08-03
S1870,2010,4,2010-09-10
S1870,2011,1,2011-06-02
S1870,2011,2,2011-07-05
S1870,2011,3,2011-08-02
S1870,2011,4,2011-09-09
S1870,2012,1,2012-06-07
S1870,2012,2,2012-07-05
S1870,2012,3,2012-08-01
S1870,2012,4,2012-09-10
S1870,2013,1,2013-06-04
S1870,2013,2,2013-07-02
S1870,2013,3,2013-08-08
S1870,2013,4,2013-09-08
S1870,2014,1,2014-06-04
S1870,2014,2,2014-07-03
S1870,2014,3,2014-08-05
S1870,2014,4,2014-09-09
S1870,2015,1,2015-06-03
S1870,2015,2,2015-07-02
S1870,2015,3,2015-08-03
S1870,2015,4,2015-09-09
S1870,2016,1,2016-06-01
S1870,2016,2,2016-07-04
S1870,2016,3,2016-08-02
S1870,2016,4,2016-08-29
S1870,2017,1,2017-06-08
S1870,2017,2,2017-07-04
S1870,2017,3,2017-08-03
S1870,2017,4,2017-09-09
S1870,2018,1,2018-06-08
S1870,2018,2,2018-07-03
S1870,2018,3,2018-08-03
S1870,2018,4,2018-09-13
S1916,2001,2,NA
S1916,2001,3,NA
S1916,2001,4,NA
S1916,2002,2,2002-07-02
S1916,2002,3,2002-07-23
S1916,2002,4,2002-08-23
S1916,2003,2,2003-07-04
S1916,2003,3,2003-08-07
S1916,2003,4,2003-09-06
S1916,2004,2,2004-07-06
S1916,2004,3,2004-08-03
S1916,2004,4,2004-09-08
S1916,2005,2,2005-07-04
S1916,2005,3,2005-08-03
S1916,2005,4,NA
S1916,2006,2,2006-06-29
S1916,2006,3,2006-08-02
S1916,2006,4,2006-09-06
S1916,2007,1,2007-05-30
S1916,2007,2,2007-07-02
S1916,2007,3,2007-07-30
S1916,2007,4,2007-09-06
S1916,2008,1,2008-06-03
S1916,2008,2,2008-07-01
S1916,2008,3,2008-08-04
S1916,2008,4,2008-09-07
S1916,2009,1,2009-06-04
S1916,2009,2,2009-07-01
S1916,2009,3,NA
S1916,2009,4,2009-09-08
S1916,2010,1,2010-06-01
S1916,2010,2,2010-07-01
S1916,2010,3,2010-08-02
S1916,2010,4,2010-09-10
S1916,2011,1,2011-06-03
S1916,2011,2,2011-07-05
S1916,2011,3,2011-08-02
S1916,2011,4,2011-09-09
S1916,2012,1,2012-06-07
S1916,2012,2,2012-07-05
S1916,2012,3,2012-08-01
S1916,2012,4,2012-09-10
S1916,2013,1,2013-06-04
S1916,2013,2,2013-07-03
S1916,2013,3,2013-08-05
S1916,2013,4,2013-09-05
S1916,2014,1,2014-06-04
S1916,2014,2,2014-07-03
S1916,2014,3,2014-08-05
S1916,2014,4,2014-09-09
S1916,2015,1,2015-06-02
S1916,2015,2,2015-06-30
S1916,2015,3,2015-08-03
S1916,2015,4,2015-09-09
S1916,2016,1,2016-06-01
S1916,2016,2,2016-07-04
S1916,2016,3,2016-08-02
S1916,2016,4,2016-08-29
S1916,2017,1,2017-06-07
S1916,2017,2,2017-07-05
S1916,2017,3,2017-08-06
S1916,2017,4,2017-09-10
S1916,2018,1,2018-06-05
S1916,2018,2,2018-07-01
S1916,2018,3,2018-08-03
S1916,2018,4,2018-09-08
S1944,2001,2,NA
S1944,2001,3,NA
S1944,2001,4,NA
S1944,2002,2,2002-07-02
S1944,2002,3,2002-07-23
S1944,2002,4,NA
S1944,2003,2,2003-07-04
S1944,2003,3,2003-08-07
S1944,2003,4,2003-09-06
S1944,2004,2,2004-07-06
S1944,2004,3,2004-08-03
S1944,2004,4,2004-09-08
S1944,2005,2,2005-07-04
S1944,2005,3,2005-08-03
S1944,2005,4,NA
S1944,2006,2,2006-06-30
S1944,2006,3,2006-08-02
S1944,2006,4,2006-09-06
S1944,2007,1,2007-05-30
S1944,2007,2,2007-07-04
S1944,2007,3,2007-07-31
S1944,2007,4,2007-09-06
S1944,2008,1,2008-06-04
S1944,2008,2,2008-07-01
S1944,2008,3,2008-08-04
S1944,2008,4,2008-09-07
S1944,2009,1,2009-06-04
S1944,2009,2,2009-07-01
S1944,2009,3,2009-08-07
S1944,2009,4,2009-09-09
S1944,2010,1,2010-06-01
S1944,2010,2,2010-07-01
S1944,2010,3,2010-08-02
S1944,2010,4,2010-09-10
S1944,2011,1,2011-06-03
S1944,2011,2,2011-07-05
S1944,2011,3,2011-08-02
S1944,2011,4,2011-09-09
S1944,2012,1,2012-06-07
S1944,2012,2,2012-07-05
S1944,2012,3,2012-08-01
S1944,2012,4,2012-09-10
S1944,2013,1,2013-06-04
S1944,2013,2,2013-07-03
S1944,2013,3,2013-08-05
S1944,2013,4,2013-09-05
S1944,2014,1,2014-06-05
S1944,2014,2,2014-07-03
S1944,2014,3,2014-08-05
S1944,2014,4,2014-09-04
S1944,2015,1,2015-06-02
S1944,2015,2,2015-06-30
S1944,2015,3,2015-08-06
S1944,2015,4,2015-09-09
S1944,2016,1,2016-06-01
S1944,2016,2,2016-07-04
S1944,2016,3,2016-08-03
S1944,2016,4,2016-08-29
S1944,2017,1,2017-06-07
S1944,2017,2,2017-07-05
S1944,2017,3,2017-08-06
S1944,2017,4,2017-09-09
S1944,2018,1,2018-06-05
S1944,2018,2,2018-07-01
S1944,2018,3,2018-08-03
S1944,2018,4,2018-09-08
